"ID","name","category","IAA","NAA","tir1_IAA","tir1_NAA","tir1vsSp","tir1vsSp_i","tir1vsSp_n"
"Mapoly0166s0010","MpERF21","TF","none","none","none","none","none","none","none"
"Mapoly0166s0022","Mp3R-MYB6","TF","none","none","none","none","none","none","down"
"Mapoly0167s0025","MpTPS1","GA","none","none","none","none","none","none","none"
"Mapoly0168s0004","MpGeBP4","TF","none","none","none","none","none","none","none"
"Mapoly0168s0007","MpCCAAT-NFYC3","TF","none","none","none","none","none","none","none"
"Mapoly0017s0009","MpGATA3","TF","none","none","none","none","none","none","none"
"Mapoly0017s0024","MpABI1B","ABA","none","none","none","none","none","none","none"
"Mapoly0173s0030","MpASLBD16","TF","none","none","none","none","none","none","none"
"Mapoly0174s0004","MpbHLH44","TF","none","down","none","none","up","up","up"
"Mapoly0174s0007","MpHD19/MpKNOX1A","TF","none","none","none","none","none","none","none"
"Mapoly0174s0011","MpMADS1","TF","none","down","none","none","up","up","up"
"Mapoly0175s0015","MpNAC6","TF","none","none","none","none","none","none","none"
"Mapoly0175s0020","MpHD20/MpKNOX1","TF","none","none","none","none","none","none","none"
"Mapoly0176s0008","MpASLBD17","TF","none","none","none","none","none","up","none"
"Mapoly0178s0023","MpTrihelix36","TF","none","none","none","none","none","none","none"
"Mapoly0018s0001","MpHSF2","TF","none","none","none","none","none","none","none"
"Mapoly0018s0011","MpBPC1","TF","none","none","none","none","none","none","none"
"Mapoly0018s0018","MpbHLH26/MpMYC1","TF","none","none","none","none","none","none","none"
"Mapoly0018s0018","MpMYC1","JA","none","none","none","none","none","none","none"
"Mapoly0018s0019","MpMYC1","JA","none","none","none","none","none","none","none"
"Mapoly1803s0001","MpASLBD21","TF","none","none","none","none","none","none","none"
"Mapoly0182s0009","MpABCB4","auxin","none","none","none","none","none","none","none"
"Mapoly0183s0010","MpB3-7/MpREM1","TF","none","none","none","none","none","none","none"
"Mapoly0184s0008","MpTrihelix37","TF","none","up","none","none","none","none","none"
"Mapoly0019s0040","MpbZIP6","TF","none","none","none","none","none","down","none"
"Mapoly0019s0045","MpB3-3/MpARF1","TF","none","none","none","none","none","down","none"
"Mapoly0019s0045","MpARF1","auxin","none","none","none","none","none","down","none"
"Mapoly0019s0071","MpR2R3-MYB6","TF","none","none","none","none","none","none","none"
"Mapoly0019s0096","MpBZR2","TF","none","up","none","none","none","none","none"
"Mapoly0019s0115","MpC2H2-5","TF","none","none","none","none","none","none","none"
"Mapoly0019s0134","MpSPL3","TF","none","none","none","none","none","down","none"
"Mapoly0019s0144","MpCCAAT-NFYA","TF","none","down","none","down","none","none","none"
"Mapoly0194s0001","MpHD21/MpKNOX2","TF","none","none","none","none","none","none","none"
"Mapoly0194s0011","MpGRAS9","TF","none","none","none","none","up","up","up"
"Mapoly0198s0008","MpDEL2","TF","none","none","none","none","none","none","none"
"Mapoly0002s0032","MpTrihelix3","TF","none","none","none","none","none","none","none"
"Mapoly0002s0069","MpC2H2-19","TF","none","none","none","none","none","none","none"
"Mapoly0002s0080","MpSAUR8","auxin","none","none","none","none","none","none","none"
"Mapoly0002s0081","MpSAUR9","auxin","none","none","none","none","none","none","none"
"Mapoly0002s0082","MpSAUR10","auxin","none","none","none","none","none","none","none"
"Mapoly0002s0083","MpSAUR11","auxin","none","none","none","none","none","none","none"
"Mapoly0002s0084","MpSAUR12","auxin","none","none","none","none","none","none","none"
"Mapoly0002s0085","MpSAUR13","auxin","none","none","none","none","none","none","none"
"Mapoly0002s0086","MpSAUR14","auxin","none","none","none","none","none","none","none"
"Mapoly0002s0172","MpTrihelix4","TF","none","none","none","none","none","none","none"
"Mapoly0002s0204","MpTrihelix5","TF","none","down","none","none","none","none","none"
"Mapoly0002s0211","MIR160","MIR","none","none","none","none","none","none","none"
"Mapoly0002s0271","MpGeBP1","TF","none","up","none","none","none","none","none"
"Mapoly0002s0331","MKAOL2","GA","none","up","none","none","none","none","none"
"Mapoly0020s0001","MpERF3","TF","none","none","none","none","none","none","none"
"Mapoly0020s0013","Mp1R-MYB7","TF","none","up","none","none","none","down","none"
"Mapoly0020s0051","MpNAC4","TF","none","none","none","none","none","up","none"
"Mapoly0020s0131","MKAOL1","GA","none","up","none","none","none","none","none"
"Mapoly0207s0001","MpTPS2","GA","none","none","none","none","none","none","none"
"Mapoly0021s0100","MpbHLH8","TF","none","none","none","none","none","none","none"
"Mapoly0021s0101","MpbHLH9","TF","none","none","none","none","none","none","none"
"Mapoly0210s0005","Mp3R-MYB7","TF","none","none","none","none","none","none","none"
"Mapoly0213s0014","MpHD22/MpBELL1","TF","none","none","none","none","none","none","none"
"Mapoly0214s0002","MpCCAAT-NFYB1","TF","none","none","none","none","none","up","none"
"Mapoly0216s0010","MpCCAAT-NFYB2","TF","none","none","none","none","none","none","none"
"Mapoly0022s0028","Mp1R-MYB8","TF","none","down","none","none","none","none","none"
"Mapoly0022s0032","MpGARP1/MpKAN","TF","none","none","none","none","none","none","up"
"Mapoly0022s0095","MpbZIP7","TF","none","down","none","up","none","none","none"
"Mapoly0022s0128","MpRKD","TF","none","up","none","none","none","none","none"
"Mapoly0022s0150","Type-A RR","cytokinin","none","none","none","none","none","down","none"
"Mapoly0221s0001","MpTPS7","GA","none","none","none","none","none","none","none"
"Mapoly0223s0002","MpERF22","TF","none","none","none","none","none","none","none"
"Mapoly0229s0008","MpTrihelix38","TF","none","none","none","none","none","none","none"
"Mapoly0023s0011","MKAOL3","GA","none","none","none","none","none","none","none"
"Mapoly0023s0075","MpERF4","TF","none","none","none","none","none","none","none"
"Mapoly0023s0081","MpHD7/MpKNOX1B","TF","none","none","none","none","none","none","none"
"Mapoly0023s0090","Mp1R-MYB9","TF","none","none","none","none","none","none","none"
"Mapoly0023s0101","MpR2R3-MYB7","TF","none","none","none","none","none","none","none"
"Mapoly0023s0118","MpCXC1","TF","none","none","none","none","none","none","down"
"Mapoly0023s0137","KAI2","strigolactone","none","down","none","none","none","none","down"
"Mapoly0232s0001","MpbHLH31","TF","none","none","none","none","none","none","up"
"Mapoly0239s0004","MIR11671","MIR","none","up","none","none","down","down","down"
"Mapoly0024s0094","MpR2R3-MYB8","TF","none","none","none","none","up","up","up"
"Mapoly0024s0106","MpbHLH20/MpBNB","TF","none","none","none","none","none","none","none"
"Mapoly0024s0120","MpJAGGED","TF","none","none","none","none","none","down","none"
"Mapoly0240s0002","Mp3R-MYB8","TF","none","none","none","none","none","none","none"
"Mapoly0025s0025","MpCOI","JA","none","none","none","none","none","none","up"
"Mapoly0025s0044","MpbHLH49","TF","none","none","none","none","none","none","none"
"Mapoly0025s0085","MpCYP707A","ABA","none","none","none","none","none","none","none"
"Mapoly0025s0112","MpTrihelix12","TF","none","none","none","none","none","none","none"
"Mapoly0250s0002","Mp1R-MYB21","TF","none","none","none","none","none","none","none"
"Mapoly0026s0039","MpbZIP8","TF","none","none","none","none","none","none","up"
"Mapoly0026s0070","MpRR-MYB2","TF","none","down","none","none","none","none","down"
"Mapoly0026s0095","MpERF5","TF","none","none","none","none","none","none","none"
